OBJECTID,poly_IncidentName,poly_FeatureCategory,poly_MapMethod,poly_GISAcres,poly_CreateDate,poly_DateCurrent,poly_PolygonDateTime,poly_Acres_AutoCalc,poly_GlobalID,poly_Source,irwin_ABCDMisc,irwin_ADSPermissionState,irwin_CalculatedAcres,irwin_ContainmentDateTime,irwin_ControlDateTime,irwin_DailyAcres,irwin_DiscoveryAcres,irwin_DispatchCenterID,irwin_EstimatedCostToDate,irwin_FFReportApprovedByTitle,irwin_FFReportApprovedByUnit,irwin_FFReportApprovedDate,irwin_FireBehaviorGeneral,irwin_FireBehaviorGeneral1,irwin_FireBehaviorGeneral2,irwin_FireBehaviorGeneral3,irwin_FireCause,irwin_FireCauseGeneral,irwin_FireCauseSpecific,irwin_FireCode,irwin_FireDepartmentID,irwin_FireDiscoveryDateTime,irwin_FireMgmtComplexity,irwin_FireOutDateTime,irwin_FSConfinePercent,irwin_FSFullSuppPercent,irwin_FSMonitorPercent,irwin_FSPointZonePercent,irwin_FSJobCode,irwin_FSOverrideCode,irwin_GACC,irwin_ICS209ReportDateTime,irwin_ICS209RForTimePeriodFrom,irwin_ICS209RForTimePeriodTo,irwin_ICS209ReportStatus,irwin_IncidentManagementOrg,irwin_IncidentName,irwin_IncidentShortDescription,irwin_IncidentTypeCategory,irwin_IncidentTypeKind,irwin_InitialLatitude,irwin_InitialLongitude,irwin_InitialResponseAcres,irwin_InitialResponseDateTime,irwin_IrwinID,irwin_IsFireCauseInvestigated,irwin_IsFireCodeRequested,irwin_IsFSAssisted,irwin_IsMultiJurisdictional,irwin_IsReimbursable,irwin_IsTrespass,irwin_IsUnifiedCommand,irwin_LocalIncidentIdentifier,irwin_PercentContained,irwin_PercentPerToBeContained,irwin_POOCity,irwin_POOCounty,irwin_POODispatchCenterID,irwin_POOFips,irwin_POOJurisdictionalAgency,irwin_POOJurisdictionalUnit,irwin_POOJurisdUnitParentUnit,irwin_POOLandownerCategory,irwin_POOLandownerKind,irwin_POOLegalDescPrinMeridian,irwin_POOLegalDescQtr,irwin_POOLegalDescQtrQtr,irwin_POOLegalDescRange,irwin_POOLegalDescSection,irwin_POOLegalDescTownship,irwin_POOPredServiceAreaID,irwin_POOProtectingAgency,irwin_POOProtectingUnit,irwin_POOState,irwin_PredominantFuelGroup,irwin_PredominantFuelModel,irwin_PrimaryFuelModel,irwin_SecondaryFuelModel,irwin_TotalIncidentPersonnel,irwin_UniqueFireIdentifier,irwin_WFDSSDecisionStatus,irwin_CreatedBySystem,irwin_ModifiedBySystem,irwin_IsDispatchComplete,irwin_OrganizationalAssessment,irwin_StratDecisionPublishDate,irwin_GlobalID,irwin_Source,irwin_ArchivedOn,irwin_ModifiedOnDateTime_dt,irwin_CreatedOnDateTime_dt,GlobalID,SHAPE_Length,SHAPE_Area
272,Penrose Fire,Wildfire Daily Fire Perimeter,Auto-generated,7,2021/05/04 22:55:43+00,2021/05/04 22:55:43+00,2021/03/12 04:34:59+00,11.78881174,{B543823D-7BCE-4FD2-BCDF-FCB64CBE48CB},2021 NIFS,,DEFAULT,,2021/03/12 00:06:00+00,2021/03/12 15:59:59+00,7,7,ARAOC,,,,,,,,,Human,Incendiary,,NU6A,,2021/03/11 22:34:59+00,,2021/03/19 15:00:00+00,,,,,PA,1522,SACC,,,,,,65,,WF,FI,35.25705,-95.09035,7,2021/03/11 22:40:00+00,{ECE01567-A2BD-4DB0-9286-3F12C64FE693},,0,1,0,0,0,,523,,,,Haskell,ARAOC,40061,BIA,MSCHA,,Private,Private,,,,,,,SA17A,BIA,OKTLA,US-OK,Grass-Shrub,GS2,,,,2021-OKTLA-000523,No Decision,wildcad,wildcad,0,,,,IRWIN,,2021/03/19 20:37:34+00,2021/03/12 16:20:04+00,{A616EF67-2643-46AE-9C02-65798DE477E8},0.008763069,-4.72E-06
274,Hollow,Wildfire Daily Fire Perimeter,Hand Sketch,0.1,2021/05/04 22:55:53+00,2021/05/04 22:55:53+00,2021/03/22 01:05:15+00,0.120645981,{5C6DB96E-1E17-4D96-A0A3-D061240DFFBC},2021 NIFS,,DEFAULT,,2021/03/21 20:30:21+00,2021/03/21 20:30:21+00,0.1,0.1,MNMNCC,,,,,,,,,Human,Other Human Cause,,,,2021/03/21 20:05:15+00,,2021/03/24 17:30:12+00,,,,,,,EACC,,,,,,2021-161-005,,WF,FI,,,,2021/03/21 20:30:21+00,{DF169A45-9EC0-4A00-AE98-3DB7BD05A165},,0,,,,,,161005,,,,Wadena,MNMNCC,27159,,,,Private,Private,,,,,,,EA01,DNR,MNMNS,US-MN,Grass,GR3,,,,2021-MNMNS-161005,No Decision,INFORM_Inspector,INFORM_Inspector,0,,,,IRWIN,,2021/03/24 17:29:57+00,2021/03/21 21:35:51+00,{7209C46B-9230-414E-95B0-602CFFAACFC4},0.001244674,-5.63E-08
276,MULBERRY,Wildfire Daily Fire Perimeter,Hand Sketch,160.8896242,2021/05/04 18:35:47+00,2021/09/15 22:39:08+00,2021/05/04 18:35:46+00,160.8889843,{4A866563-4687-413A-ACC9-3D364FDCD01A},2021 NIFS,,CERTIFIED,160.8896,2021/02/17 21:52:00+00,2021/02/22 15:55:00+00,162,1,AZTDC,,,,2021/08/19 17:12:26+00,,,,,Human,Other Human Cause,,NT2V,,2021/02/13 23:42:59+00,,2021/02/22 15:59:59+00,,,,,P3,305,SWCC,,,,,,MULBERRY,,WF,FI,31.84475,-110.7289,25,2021/02/14 00:30:00+00,{044D86E3-A2BE-460B-8078-5C4432A3259A},,0,1,0,0,0,,68,,,,Pima,AZTDC,4019,FS,AZCNF,,USFS,Federal,,,,,,,SW06S,FS,AZCNF,US-AZ,Grass-Shrub,GS1,,,,2021-AZCNF-000068,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2021/08/19 17:12:27+00,2021/02/14 01:08:33+00,{AEFB47DA-EF0C-43C5-A359-A771053DAEDD},0.033962696,-6.21E-05
301,Hollow,Wildfire Daily Fire Perimeter,GPS-Walked,1,2021/05/28 16:58:23+00,2021/05/28 16:58:23+00,2021/03/08 03:20:00+00,0.039740732,{D892B3EA-2D6D-4A20-AE53-E57AA746968C},FFP,,CERTIFIED,35.39,2021/03/08 00:08:00+00,2021/03/09 21:51:00+00,25,1,MOMOC,,,,2021/05/28 16:58:20+00,,,,,Human,Other Human Cause,,NUT3,,2021/03/07 21:20:00+00,,2021/03/17 19:47:00+00,,,,,P9,905,EACC,,,,,,Hollow,,WF,FI,36.70221,-92.1424,,,{A257D495-FC1E-4CE2-9529-5046910EA335},1,0,0,0,0,0,,93,,,,Ozark,MOMOC,29153,,,,Private,Private,,,,,,,EA13,FS,MOMTF,US-MO,Timber,TL6,,,,2021-MOMTF-000093,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2021/05/28 16:58:21+00,2021/03/07 22:32:59+00,{7BD144DC-A33D-46A8-B8DE-9059900278E3},0.00063728,-1.62E-08
330,Carmen,Prescribed Fire,GPS-Walked,1,2021/05/04 22:55:35+00,2021/05/04 22:55:35+00,2021/03/06 18:52:44+00,2384.608847,{93F8E755-C60B-4118-A18F-18679F39D31D},2021 NIFS,,DEFAULT,,,,2371,1,MOMOC,,,,,,,,,Unknown,,,,,2021/03/06 12:52:44+00,,,,,,,,,EACC,,,,,,Carmen,,RX,FI,36.94331,-92.07699,,,{989C996E-B854-46EC-B24D-006B5103C45F},,0,0,0,0,0,,68,,,,Howell,MOMOC,29091,FS,MOMTF,,,,,,,,,,EA13,FS,MOMTF,US-MO,,,,,,2021-MOMTF-000068,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2021/03/19 21:09:03+00,2021/03/06 14:35:58+00,{1E8EDB55-DCE3-429B-9EEE-ABB97420AA36},0.199994124,-0.000975994
335,Stephens Knob,Wildfire Daily Fire Perimeter,GPS-Walked,1,2021/05/04 22:55:37+00,2021/05/04 22:55:37+00,2021/03/08 19:05:59+00,13.66157925,{B08AD89E-EF50-448E-8805-1175B5C07203},2021 NIFS,,DEFAULT,13.66,2021/03/08 22:10:00+00,2021/03/19 12:30:00+00,13.7,1,KYKIC,,,,,,,,,Human,Other Human Cause,,NUW4,,2021/03/08 13:05:59+00,,2021/03/31 15:00:00+00,,,,,PN,1522,SACC,,,,,,Stephens Knob,,WF,FI,36.61083,-84.35006,,2021/03/08 13:15:00+00,{4D24E319-C9D7-4C41-9AC2-037D5113DA9A},,0,1,1,0,1,,210120,,,,McCreary,KYKIC,21147,FS,KYDBF,,Private,Private,,,,,,,SA27,DVF,KYKYS,US-KY,Timber,TL9,,,,2021-KYKYS-210120,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2021/06/21 18:29:46+00,2021/03/08 14:36:00+00,{6FC7494E-B7DC-4718-BA46-EAD5BC94A705},0.012321093,-5.57E-06
342,THORNTON GAP WEST,Wildfire Daily Fire Perimeter,Mixed Methods,1,2021/06/08 18:15:01+00,2021/06/08 18:15:01+00,2021/03/12 00:59:59+00,0.631396399,{09D4C4A0-23B4-4F1D-AF64-3874F0BFACB4},FFP,,CERTIFIED,0.59,,,0.6,,VAVIC,,,,2021/06/08 18:14:59+00,,,,,Human,Other Human Cause,,NU5F,,2021/03/11 18:59:59+00,,2021/03/18 19:59:00+00,,,,,,,SACC,,,,,,THORNTON GAP WEST,,WF,FI,,,,2021/03/11 19:20:00+00,{039C59B5-8D68-4268-B7F7-6D484621F3C7},,0,1,0,0,0,,210002,,,,Page,VAVIC,51139,NPS,VASHP,,NPS,Federal,,,,,,,SA28B,NPS,VASHP,US-VA,Timber,TL8,,,,2021-VASHP-210002,No Decision,firecode,INFORM_Inspector,0,,,,IRWIN,,2021/06/08 18:15:00+00,2021/03/11 21:57:11+00,{B5A0FDC2-72AF-4818-A93E-5C65AF88C926},0.002312123,-2.64E-07
353,Logging Fire,Wildfire Daily Fire Perimeter,Mixed Methods,0.33,2021/05/04 22:55:48+00,2021/05/04 22:55:48+00,,0.328125352,{16FD7FAB-5345-426B-8329-013BA8F4EC4E},2021 NIFS,,CERTIFIED,,2021/03/16 14:34:00+00,2021/03/16 15:13:00+00,1,0.1,LALIC,,,,,,,,,Human,Equipment,,NVF8,,2021/03/16 14:28:00+00,,2021/03/18 18:49:59+00,,,,,P8,806,SACC,,,,,,Logging,,WF,FI,31.55494,-92.59896,0.3,2021/03/16 14:29:59+00,{EF9B7D66-1CCC-4FD3-8E7C-DF924BCF5D02},,0,1,0,0,1,,61,,,,Grant,LALIC,22043,FS,LAKIF,,USFS,Federal,,,,,,,SA19,FS,LAKIF,US-LA,Timber,TU2,,,,2021-LAKIF-000061,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2021/04/15 13:33:35+00,2021/03/16 14:36:54+00,{B18CDCE7-9AD7-4593-AD9C-AA8B5DDDCDCF},0.001744284,-1.26E-07
430,Desolation,Wildfire Daily Fire Perimeter,GPS-Walked,0.444808,2021/05/14 20:01:17+00,2021/05/14 20:01:17+00,2021/03/09 21:04:59+00,0.444762626,{A23855C8-3A59-4D49-ADBF-C5767037AF85},FFP,,CERTIFIED,,2021/03/07 00:59:59+00,2021/03/08 18:59:59+00,0.4,1,UTNUC,,,,2021/05/14 20:01:15+00,,,,,Human,Firearms/Weapons,,NU1B,,2021/03/06 23:35:59+00,,2021/03/08 20:00:00+00,,,,,PD,1522,GBCC,,,,,,Desolation,,WF,FI,40.72304,-113.2888,0.25,2021/03/06 23:50:00+00,{3F9476B1-1801-468E-A887-7171CEE8A30A},,0,1,0,0,0,,34,,,,Tooele,UTNUC,49045,BLM,UTSLD,,BLM,Federal,,,,,,,GB25,BLM,UTSLD,US-UT,Grass-Shrub,GS1,,,,2021-UTSLD-000034,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2021/05/14 20:01:15+00,2021/03/08 19:20:40+00,{EF8C65CD-D0F8-4327-BB95-E22A82D746A7},0.002291279,-1.92E-07
438,ROMAN,Wildfire Daily Fire Perimeter,Hand Sketch,8.51817466,2021/06/28 14:51:35+00,2021/06/28 14:51:35+00,2021/03/16 15:26:02+00,8.518154413,{D4376EB5-8C13-41C2-BC5A-AF8D1BB3E4D2},FFP,,DEFAULT,,2021/03/14 14:00:00+00,2021/03/17 21:00:00+00,5,5,NMADC,,,,,,,,,Human,Other Human Cause,,NVA7,,2021/03/14 00:00:00+00,,2021/03/22 21:00:00+00,,,,,PP,1522,,,,,,,ROMAN,,WF,FI,29.11693,-103.6698,5,2021/03/14 01:08:00+00,{8B4DBA32-79D3-4E69-BC06-25490E93A2C3},,0,1,0,0,1,,49,,,, ,, ,NPS,TXBBP,,Foreign,Other,,,,,,,,NPS,TXBBP,MX-CH,Grass-Shrub,GS1,,,,2021-TXBBP-000049,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2021/06/28 14:45:07+00,2021/03/15 17:12:05+00,{B887E489-7C9E-45DA-8440-3CB5552AF12C},0.011162091,-3.20E-06
452,Klondike,Wildfire Daily Fire Perimeter,Hand Sketch,2,2021/05/04 22:55:50+00,2021/05/04 22:55:50+00,2021/03/14 02:00:39+00,1.482414617,{1FA24D90-E477-449E-B5E8-538B7F17B07E},2021 NIFS,,DEFAULT,,2021/03/13 20:38:00+00,2021/03/13 20:38:00+00,2,2,MNMNCC,,,,,,,,,Unknown,Cause and Origin Not Identified,,,,2021/03/13 20:05:39+00,,2021/03/26 17:00:00+00,,,,,,,EACC,,,,,,Klondike,,WF,FI,,,,2021/03/13 20:12:00+00,{C728A04F-A58E-4A42-B5A5-A66496B89300},,0,,,,,,344006,,,,Anoka,MNMNCC,27003,,,,Private,Private,,,,,,,EA03,DNR,MNMNS,US-MN,Grass,GR3,,,,2021-MNMNS-344006,No Decision,INFORM_Inspector,INFORM_Inspector,0,,,,IRWIN,,2021/03/26 20:48:24+00,2021/03/19 18:36:30+00,{EB60D5E5-A89F-430F-AD3B-8A64FFB6D29E},0.005935021,-6.89E-07
462,Kaintuck Fen ,Prescribed Fire,GPS-Walked,1,2021/05/04 22:51:23+00,2021/05/04 22:51:23+00,2021/01/13 21:00:00+00,72.00548216,{C754026F-3074-4279-8361-7C54106165E8},2021 NIFS,,DEFAULT,,,,56,1,MOMOC,,,,,,,,,Unknown,,,,,2021/01/13 14:00:00+00,,,,,,,,,EACC,,,,,,Kaintuck Fen ,,RX,FI,37.86,-91.9222,,,{AE7DCA3D-7B26-43AD-8200-E2865D0A1FC2},,0,0,0,0,0,,16,,,,Phelps,MOMOC,29161,FS,MOMTF,,,,,,,,,,EA13,FS,MOMTF,US-MO,,,,,,2021-MOMTF-000016,No Decision,wildcad,wildcad,0,,,,IRWIN,,2021/01/14 18:01:07+00,2021/01/14 18:01:07+00,{14993599-0E9C-40FF-8000-973170A4FB7D},0.046836587,-2.98E-05
